Numero du participant;Numero d'essaie;Condition;Position X;Position Y;Position Z;Cible touché;temps
1;1;b;0,3786083;-0,05;0,04315351;0;31,17744
1;1;b;0,3806522;-0,05;0,04866845;0;31,18596
1;1;b;0,3779834;-0,05;0,04900868;0;31,19913
1;1;b;0,3748391;-0,05;0,04832555;0;31,21315
1;1;b;0,3763459;-0,05;0,04313687;0;31,22115
1;1;b;0,3754229;-0,05;0,04799179;0;31,23033
1;1;b;0,3794063;-0,05;0,04881588;0;31,24735
1;1;b;0,3804006;-0,05;0,04721277;0;31,26086
1;1;b;0,3802061;-0,05;0,04502464;0;31,26996
1;1;b;0,3784514;-0,05;0,04432811;0;31,28324
1;1;b;0,3778463;-0,05;0,04477521;0;31,29224
1;1;b;0,3776422;-0,05;0,04530424;0;31,30197
1;1;b;0,3768972;-0,05;0,04586966;0;31,31703
1;1;b;0,3763369;-0,05;0,04589707;0;31,32819
1;1;b;0,3758153;-0,05;0,04582594;0;31,33866
1;1;b;0,3757095;-0,05;0,04676091;0;31,36187
1;1;b;0,376494;-0,05;0,04731077;0;31,37388
1;1;b;0,377272;-0,05;0,04813549;0;31,38492
1;1;b;0,3789029;-0,05;0,04891283;0;31,40093
1;1;b;0,3796626;-0,05;0,04909635;0;31,40994
1;1;b;0,3803086;-0,05;0,04940504;0;31,41899
1;1;b;0,3811049;-0,05;0,04959363;0;31,43399
1;1;b;0,3811363;-0,05;0,04960939;0;31,44311
1;1;b;0,3811363;-0,05;0,04960939;0;31,45313
1;1;b;0,3811951;-0,05;0,04939107;0;31,46832
1;1;b;0,3808692;-0,05;0,04923439;0;31,47984
1;1;b;0,3802174;-0,05;0,04892144;0;31,48985
1;1;b;0,3803016;-0,05;0,04800439;0;31,50583
1;1;b;0,3805032;-0,05;0,04758285;0;31,51634
1;1;b;0,3805738;-0,05;0,04743533;0;31,52685
1;1;b;0,381085;-0,05;0,04704286;0;31,54636
1;1;b;0,3811184;-0,05;0,04687616;0;31,55787
1;1;b;0,381087;-0,05;0,04686055;0;31,56804
1;1;b;0,3807787;-0,05;0,04651725;0;31,58493
1;1;b;0,380758;-0,05;0,04647755;0;31,59612
1;1;b;0,380431;-0,05;0,04632106;0;31,60518
1;1;b;0,3801426;-0,05;0,04600208;0;31,62045
1;1;b;0,3794881;-0,05;0,04568971;0;31,62896
1;1;b;0,3794934;-0,05;0,04567766;0;31,63797
1;1;b;0,3787383;-0,05;0,04557684;0;31,65454
1;1;b;0,3781202;-0,05;0,04526897;0;31,66605
1;1;b;0,3780201;-0,05;0,04548011;0;31,67606
1;1;b;0,3777242;-0,05;0,04534011;0;31,69125
1;1;b;0,3770309;-0,05;0,04519255;0;31,70378
1;1;b;0,3767034;-0,05;0,04503758;0;31,71329
1;1;b;0,3764072;-0,05;0,04489813;0;31,73082
1;1;b;0,375424;-0,05;0,04443441;0;31,74312
1;1;b;0,3754292;-0,05;0,04442242;0;31,75327
1;1;b;0,3746425;-0,05;0,04431023;0;31,76928
1;1;b;0,3739866;-0,05;0,0440024;0;31,77691
1;1;b;0,3736637;-0,05;0,04383673;0;31,78796
1;1;b;0,3732366;-0,05;0,043895;0;31,80499
1;1;b;0,3716277;-0,05;0,04391852;0;31,81609
1;1;b;0,3712996;-0,05;0,04376578;0;31,82583
1;1;b;0,3709347;-0,05;0,04360993;0;31,83934
1;1;b;0,3697429;-0,05;0,04360172;0;31,85185
1;1;b;0,3694095;-0,05;0,04346177;0;31,86195
1;1;b;0,3689759;-0,05;0,04345506;0;31,87702
1;1;b;0,3676255;-0,05;0,04284636;0;31,89028
1;1;b;0,3668656;-0,05;0,04276918;0;31,89951
1;1;b;0,3665473;-0,05;0,04266624;0;31,91914
1;1;b;0,3653534;-0,05;0,0425698;0;31,93531
1;1;b;0,3649464;-0,05;0,04259287;0;31,94954
1;1;b;0,3621911;-0,05;0,04322108;0;31,9753
1;1;b;0,3616931;-0,05;0,04344729;0;31,98938
1;1;b;0,3604372;-0,05;0,04360331;0;32,00439
1;1;b;0,3596736;-0,05;0,04354605;0;32,02996
1;1;b;0,3578265;-0,05;0,04404555;0;32,04498
1;1;b;0,3573652;-0,05;0,04423033;0;32,06101
1;1;b;0,3550109;-0,05;0,04491382;0;32,08723
1;1;b;0,3539846;-0,05;0,04518077;0;32,10184
1;1;b;0,3525928;-0,05;0,04461014;0;32,11689
1;1;b;0,3520413;-0,05;0,04462481;0;32,14398
1;1;b;0,3507144;-0,05;0,04477994;0;32,15849
1;1;b;0,3502765;-0,05;0,04479918;0;32,17402
1;1;b;0,348173;-0,05;0,04505476;0;32,19548
1;1;b;0,34738;-0,05;0,04508428;0;32,21149
1;1;b;0,3466807;-0,05;0,04481226;0;32,22701
1;1;b;0,3452597;-0,05;0,04440809;0;32,25208
1;1;b;0,3443787;-0,05;0,04455602;0;32,2667
1;1;b;0,3433239;-0,05;0,04429705;0;32,28121
1;1;b;0,3410505;-0,05;0,04579493;0;32,30797
1;1;b;0,3396;-0,05;0,04549265;0;32,32306
1;1;b;0,3386784;-0,05;0,04573208;0;32,33818
1;1;b;0,3376494;-0,05;0,04532201;0;32,36501
1;1;b;0,3371231;-0,05;0,0454584;0;32,38004
1;1;b;0,3354116;-0,05;0,04478239;0;32,39473
1;1;b;0,3342474;-0,05;0,04440636;0;32,42179
1;1;b;0,3334918;-0,05;0,04433529;0;32,43629
1;1;b;0,3331941;-0,05;0,04427492;0;32,45252
1;1;b;0,3318337;-0,05;0,0441712;0;32,47196
1;1;b;0,3315759;-0,05;0,04411936;0;32,48547
1;1;b;0,3299364;-0,05;0,04471067;0;32,5031
1;1;b;0,3293667;-0,05;0,04476391;0;32,52769
1;1;b;0,3270664;-0,05;0,04405246;0;32,54246
1;1;b;0,3258454;-0,05;0,04358968;0;32,55697
1;1;b;0,3235551;-0,05;0,04376485;0;32,58493
1;1;b;0,323525;-0,05;0,04404456;0;32,60115
1;1;b;0,3221309;-0,05;0,0437151;0;32,61668
1;1;b;0,3213667;-0,05;0,04362334;0;32,64336
1;1;b;0,3190165;-0,05;0,04271699;0;32,65887
1;1;b;0,3179847;-0,05;0,04234328;0;32,67467
1;1;b;0,3159004;-0,05;0,04153535;0;32,70071
1;1;b;0,3158939;-0,05;0,04155154;0;32,71481
1;1;b;0,3145444;-0,05;0,04102037;0;32,73147
1;1;b;0,3138463;-0,05;0,04076559;0;32,75242
1;1;b;0,3108288;-0,05;0,03960641;0;32,76534
1;1;b;0,308843;-0,05;0,03883846;0;32,78035
1;1;b;0,3066393;-0,05;0,03779165;0;32,80562
1;1;b;0,3069913;-0,05;0,03792307;0;32,82039
1;1;b;0,3069797;-0,05;0,03791602;0;32,83663
1;1;b;0,3057643;-0,05;0,03757333;0;32,86424
1;1;b;0,3018254;-0,05;0,03657226;0;32,87992
1;1;b;0,2990596;-0,05;0,0357928;0;32,89593
1;1;b;0,2968569;-0,05;0,034799;0;32,92396
1;1;b;0,2971827;-0,05;0,03493732;0;32,93954
1;1;b;0,2958277;-0,05;0,03444149;0;32,95572
1;1;b;0,2940235;-0,05;0,03379164;0;32,98293
1;1;b;0,2919798;-0,05;0,03305629;0;32,99869
1;1;b;0,2915861;-0,05;0,03291742;0;33,01373
1;1;b;0,2901941;-0,05;0,03243983;0;33,03275
1;1;b;0,2894948;-0,05;0,03219057;0;33,04759
1;1;b;0,2894672;-0,05;0,03218296;0;33,06404
1;1;b;0,2875087;-0,05;0,03127454;0;33,09313
1;1;b;0,2858635;-0,05;0,03051793;0;33,10874
1;1;b;0,2848131;-0,05;0,03030627;0;33,12391
1;1;b;0,2827147;-0,05;0,0295585;0;33,15144
1;1;b;0,2820129;-0,05;0,02931595;0;33,16618
1;1;b;0,2813165;-0,05;0,0290578;0;33,18168
1;1;b;0,2805522;-0,05;0,02878006;0;33,20852
1;1;b;0,2798214;-0,05;0,02851337;0;33,22256
1;1;b;0,2794475;-0,05;0,0284046;0;33,23917
1;1;b;0,2783654;-0,05;0,02800466;0;33,26735
1;1;b;0,2782604;-0,05;0,02820153;0;33,28336
1;1;b;0,2775694;-0,05;0,02796922;0;33,29938
1;1;b;0,2768831;-0,05;0,0277024;0;33,31859
1;1;b;0,2765205;-0,05;0,02758196;0;33,33336
1;1;b;0,2758563;-0,05;0,0273388;0;33,34787
1;1;b;0,2738297;-0,05;0,02664106;0;33,3756
1;1;b;0,2724135;-0,05;0,02641515;0;33,39085
1;1;b;0,2718163;-0,05;0,02619426;0;33,40738
1;1;b;0,2708034;-0,05;0,02610209;0;33,43565
1;1;b;0,2693633;-0,05;0,02805616;0;33,45169
1;1;b;0,267904;-0,05;0,02799924;0;33,46685
1;1;b;0,2667573;-0,05;0,02834864;0;33,49544
1;1;b;0,2663716;-0,05;0,02841574;0;33,51149
1;1;b;0,2658312;-0,05;0,02891085;0;33,52765
1;1;b;0,2650827;-0,05;0,02884429;0;33,55566
1;1;b;0,2640793;-0,05;0,02964984;0;33,57467
1;1;b;0,2640274;-0,05;0,02980836;0;33,59169
1;1;b;0,2633536;-0,05;0,03076182;0;33,61014
1;1;b;0,2629868;-0,05;0,03089103;0;33,62441
1;1;b;0,2627828;-0,05;0,03151629;0;33,63997
1;1;b;0,2626231;-0,05;0,03211953;0;33,66705
1;1;b;0,2618543;-0,05;0,0333275;0;33,68274
1;1;b;0,2618427;-0,05;0,03349873;0;33,69825
1;1;b;0,260906;-0,05;0,03412051;0;33,72643
1;1;b;0,2608883;-0,05;0,0342891;0;33,74218
1;1;b;0,2604437;-0,05;0,0346434;0;33,75771
1;1;b;0,2600663;-0,05;0,03469859;0;33,78506
1;1;b;0,2591203;-0,05;0,03533615;0;33,80109
1;1;b;0,2583266;-0,05;0,03566552;0;33,81812
1;1;b;0,2574619;-0,05;0,03631175;0;33,84585
1;1;b;0,2571597;-0,05;0,03623109;0;33,86314
1;1;b;0,2565756;-0,05;0,0369146;0;33,88063
1;1;b;0,2561934;-0,05;0,03696928;0;33,90123
1;1;b;0,2551581;-0,05;0,03790683;0;33,91644
1;1;b;0,2547544;-0,05;0,03814771;0;33,93139
1;1;b;0,2537939;-0,05;0,03902052;0;33,95933
1;1;b;0,2534067;-0,05;0,03907393;0;33,97384
1;1;b;0,251848;-0,05;0,04156683;0;33,98926
1;1;b;0,2506542;-0,05;0,04214744;0;34,01743
1;1;b;0,2485011;-0,05;0,04326006;0;34,03294
1;1;b;0,2473914;-0,05;0,04359171;0;34,04998
1;1;b;0,2438211;-0,05;0,05067092;0;34,07817
1;1;b;0,2434024;-0,05;0,05012397;0;34,09601
1;1;b;0,2418088;-0,05;0,05067371;0;34,11252
1;1;b;0,2387325;-0,05;0,05384947;0;34,14167
1;1;b;0,2380079;-0,05;0,05441552;0;34,15736
1;1;b;0,2366678;-0,05;0,05651057;0;34,17387
