X,Y,Z
0,7367561;-0,2216828;-0,8212021
0,7367561;-0,2216828;-0,8212021
0,7368845;-0,2232035;-0,8104416
0,7367846;-0,230148;-0,8188187
0,7367846;-0,230148;-0,8188187
0,7367846;-0,230148;-0,8188187
0,6932707;-0,197371;-0,7008713
0,7328255;-0,2342712;-0,7237732
0,7390091;-0,2029244;-0,5975083
0,7379868;-0,2397671;-0,6183731
0,689614;-0,2425937;-0,5944443
0,7286672;-0,2371558;-0,6395233
0,6767265;-0,2317893;-0,6802139
0,7179386;-0,2317893;-0,6822052
0,668483;-0,2317893;-0,679834
0,6603676;-0,2332967;-0,6686951
0,7015816;-0,2332967;-0,6706558
0,6545109;-0,192435;-0,6174545
0,6442568;-0,2264864;-0,6594818
0,6360096;-0,2264864;-0,6591156
0,6278901;-0,2279895;-0,6479904
0,6691246;-0,2279895;-0,6498825
0,6196427;-0,2279895;-0,6476303
0,6165735;-0,1953876;-0,5318069
0,6039619;-0,2225558;-0,6276841
0,6509809;-0,2391967;-0,5002961
0,5995826;-0,2351879;-0,5304245
0,5917381;-0,2366076;-0,51931
0,6363694;-0,2464705;-0,4457688
0,5869672;-0,1999893;-0,4358277
0,5772445;-0,2355127;-0,4671036
0,5693604;-0,2369549;-0,4559922
0,5614679;-0,2384004;-0,4449005
0,5529942;-0,1903556;-0,4475647
0,5429084;-0,2244595;-0,489595
0,5347286;-0,2259537;-0,4785065
0,5264197;-0,2259537;-0,4781845
0,5227163;-0,1935795;-0,3624634
0,463149;-0,2291548;-0,3917755
0,4992774;-0,2392639;-0,317778
0,3004991;-0,2275476;-0,04392853
0,3995147;-0,2356138;-0,284227
0,4811502;-0,2282739;-0,3410507
0,4332698;-0,2371076;-0,2746933
0,3750173;-0,2386067;-0,2619217
0,4105303;-0,1991228;-0,2015686
0,3507127;-0,2347861;-0,2311829
0,3824047;-0,2273584;-0,286142
0,3277667;-0,2522112;-0,16353
0,307569;-0,238776;-0,2598831
0,3431266;-0,2477682;-0,1964355
0,3365586;-0,2082856;-0,134642
0,2766719;-0,2439875;-0,1644714
0,310555;-0,2455217;-0,1547562
0,2520252;-0,2485405;-0,1315674
0,2859314;-0,2500836;-0,1218094
0,2759817;-0,2424804;-0,1753784
0,2204707;-0,2608064;-0,04472809
0,2512333;-0,2455347;-0,1532303
0,1967935;-0,2229378;0,02810363
0,1775502;-0,2510234;-0,05687103
0,2115399;-0,2525927;-0,04700165
0,2524811;-0,244858;-0,1018036
0,2034268;-0,2556421;-0,02530213
0,1936633;-0,2478859;-0,07888184
0,135914;-0,2572197;-0,01302033
0,1685037;-0,2494415;-0,06760254
0,1614467;-0,2588017;-0,002914429
0,1531647;-0,2603886;0,007997129
0,1435205;-0,2525661;-0,04559479
0,08551593;-0,2619788;0,0201004
0,1182934;-0,2541349;-0,03437958
0,1110632;-0,2635739;0,03027954
-0,0002537221;-0,255708;-0,02145233
0,07607608;-0,255708;-0,02292633
0,1186109;-0,2571804;-0,01291504
0,06883698;-0,2666458;0,05248108
0,008484863;-0,258758;-0,0003036499
0,04242776;-0,258758;-0,0008972168
0,03394151;-0,258758;-0,0007858276
0,02535522;-0,2657093;-0,009042359
-0,03404805;-0,2657093;-0,008197022
0,05081334;-0,2657093;-0,009448242
-0,05089321;-0,2671773;0,002748108
0,03396926;-0,2671773;0,001557922
-0,01694865;-0,2671773;0,002235413
-0,02543511;-0,2671773;0,002330017
-0,03392189;-0,2671773;0,00242157
0,008510184;-0,2671773;0,001887512
-0,04228017;-0,2686409;0,01326904
-0,05076678;-0,2686409;0,01336212
-0,008334351;-0,2686409;0,01285858
-0,05925355;-0,2686409;0,01342621
-0,01682088;-0,2686409;0,01295319
-0,06774022;-0,2686409;0,01351166
-0,02530744;-0,2686409;0,01304626
-0,07622722;-0,2686409;0,01357727
-0,03432884;-0,2606346;-0,04060517
-0,0846695;-0,2685225;0,01366425
-0,04225841;-0,2685225;0,013237
-0,04225841;-0,2685225;0,013237
-0,09315193;-0,2685225;0,01373138
-0,1016344;-0,2685225;0,01378632
-0,05922295;-0,2685225;0,01339722
-0,05968243;-0,3095507;-0,03738708
-0,1107297;-0,2659208;-0,05913544
-0,06787123;-0,2737872;-0,005744934
-0,06787123;-0,2737872;-0,005744934
-0,1187179;-0,2737872;-0,005323791
-0,07631703;-0,2821968;-0,003274536
-0,07631703;-0,2821968;-0,003274536
-0,07631703;-0,2821968;-0,003274536
-0,07631703;-0,2821968;-0,003274536
-0,07631703;-0,2821968;-0,003274536
-0,127668;-0,2727841;-0,06737976
-0,08487554;-0,280628;-0,01395874
-0,0847471;-0,2820785;-0,003189087
-0,0847471;-0,2820785;-0,003189087
-0,03392675;-0,2820785;-0,003601074
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07627704;-0,2820785;-0,003257751
-0,07614861;-0,2835244;0,007511902
-0,07614861;-0,2835244;0,007511902
-0,07614861;-0,2835244;0,007511902
-0,02542818;-0,2904826;-0,001283264
-0,06733983;-0,249455;0,04986877
-0,06770527;-0,2836447;0,007540894
-0,06770527;-0,2836447;0,007540894
-0,06770527;-0,2836447;0,007540894
-0,06770527;-0,2836447;0,007540894
-0,06881963;-0,2648976;-0,1215118
-0,06776253;-0,2819618;-0,003198242
-0,01814238;-0,2633205;-0,1327179
-0,05949251;-0,2788549;-0,02478485
-0,06007637;-0,2695732;-0,08932038
-0,06004524;-0,2694903;-0,08931427
-0,008877244;-0,2772027;-0,03599396
-0,0004305504;-0,2772027;-0,03609924
-0,04266491;-0,2772027;-0,03568726
-0,04276464;-0,2841643;-0,0440506
-0,04276464;-0,2841643;-0,0440506
0,00791638;-0,2841643;-0,04456329
-0,0343178;-0,2841643;-0,04413605
-0,0343178;-0,2841643;-0,04413605
0,01649153;-0,2855971;-0,03389435
-0,02574253;-0,2855971;-0,03345184
-0,02643261;-0,2763681;-0,09799652
-0,02664733;-0,2818218;-0,1171143
-0,02607226;-0,2894903;-0,06332703
0,02455525;-0,2894903;-0,0638855
-0,01822269;-0,2817423;-0,1171921
-0,01905885;-0,271116;-0,1925217
-0,01786425;-0,2863438;-0,08492432
-0,01796393;-0,2933123;-0,09328156
-0,01852784;-0,3343405;-0,144075
-0,01805792;-0,3001503;-0,1017471
-0,01792943;-0,3015743;-0,09097443
-0,01792943;-0,3015743;-0,09097443
-0,01792943;-0,3015743;-0,09097443
-0,01802907;-0,3085462;-0,09932861
-0,01871703;-0,3078443;-0,16147
-0,01811967;-0,315425;-0,1076675
-0,01821923;-0,3224036;-0,1160172
-0,01821923;-0,3224036;-0,1160172
-0,01821923;-0,3224036;-0,1160172
-0,01821923;-0,3224036;-0,1160172
-0,01819026;-0,330801;-0,1135895
-0,01890709;-0,3217299;-0,1781616
-0,01830974;-0,3292892;-0,1243515
-0,01830974;-0,3292892;-0,1243515
-0,01828074;-0,3376855;-0,1219193
-0,01828074;-0,3376855;-0,1219193
-0,01771684;-0,2966573;-0,0711258
-0,01828623;-0,3378364;-0,1217941
-0,01828623;-0,3378364;-0,1217941
-0,01828623;-0,3378364;-0,1217941
-0,01838565;-0,3448287;-0,1301315
-0,01838565;-0,3448287;-0,1301315
-0,01838565;-0,3448287;-0,1301315
-0,01848505;-0,3518244;-0,1384674
-0,01848505;-0,3518244;-0,1384674
-0,01835656;-0,3532309;-0,1276917
-0,01835656;-0,3532309;-0,1276917
-0,01835656;-0,3532309;-0,1276917
-0,01845591;-0,36023;-0,136023
-0,01845591;-0,36023;-0,136023
-0,01842673;-0,3686345;-0,133577
-0,01842673;-0,3686345;-0,133577
-0,01852603;-0,3756405;-0,1419037
-0,01852603;-0,3756405;-0,1419037
-0,01852603;-0,3756405;-0,1419037
-0,01852603;-0,3756405;-0,1419037
-0,01862528;-0,3826497;-0,1502258
-0,01862528;-0,3826497;-0,1502258
-0,01787918;-0,4001313;-0,08320771
-0,01847653;-0,392572;-0,1370102
-0,01847653;-0,392572;-0,1370102
-0,01857572;-0,399588;-0,1453278
-0,01857572;-0,399588;-0,1453278
-0,01857572;-0,399588;-0,1453278
-0,01867487;-0,4066075;-0,1536423
-0,01854634;-0,4080009;-0,142865
-0,01864548;-0,4150237;-0,1511765
-0,01874456;-0,42205;-0,1594864
-0,01874456;-0,42205;-0,1594864
-0,01874456;-0,42205;-0,1594864
-0,01874456;-0,42205;-0,1594864
-0,0187151;-0,4304686;-0,1570145
-0,0187151;-0,4304686;-0,1570145
-0,0187151;-0,4304686;-0,1570145
-0,01881411;-0,4375016;-0,1653183
-0,01881411;-0,4375016;-0,1653183
-0,01878457;-0,4459226;-0,1628403
-0,01878457;-0,4459226;-0,1628403
-0,01878457;-0,4459226;-0,1628403
