X;Y;Z
0,06195864;-0,04666167;0,2900985
0,06216605;-0,04804736;0,2841175
0,06219325;-0,04859511;0,279676
0,06232123;-0,04789298;0,2720916
0,06231374;-0,04708465;0,2677943
0,06253641;-0,04624849;0,2635275
0,06291276;-0,04460582;0,2555384
0,06317984;-0,04357341;0,2507595
0,06337922;-0,04287045;0,2465791
0,06376313;-0,04195623;0,2406266
0,06419561;-0,04144352;0,2365494
0,06439056;-0,04099482;0,2347116
0,06466208;-0,04059472;0,2321517
0,06477332;-0,04033209;0,2311031
0,06495444;-0,04037073;0,2293955
0,06519181;-0,04121425;0,2271577
0,06545712;-0,0429369;0,2246566
0,06564522;-0,04461471;0,2228833
0,06597801;-0,04761361;0,2197459
0,0663365;-0,05056593;0,2163663
0,06659766;-0,05232891;0,2139041
0,06710453;-0,0554262;0,2091257
0,06712443;-0,05642824;0,2064477
0,06755476;-0,05754015;0,2023748
0,06816218;-0,05868375;0,1966259
0,06851783;-0,05874469;0,1932598
0,06889305;-0,05899055;0,1897086
0,06973658;-0,05969604;0,181725
0,0703811;-0,06016008;0,1756248
0,07090779;-0,06114965;0,1679887
0,07098069;-0,065;0,1619252
0,07176645;-0,065;0,1571252
0,07193626;-0,065;0,1555053
0,07224158;-0,06435125;0,155315
0,07274905;-0,06340646;0,1532133
0,07323893;-0,06406857;0,1512939
0,07334808;-0,065;0,150265
0,07324985;-0,06419358;0,1484734
0,07328065;-0,065;0,1481818
0,07345908;-0,065;0,1464931
0,07342815;-0,064939;0,1467859
0,0731848;-0,06428371;0,1463526
0,07342381;-0,06234462;0,1468269
0,07343145;-0,06205959;0,1467547
0,07367049;-0,06194603;0,1472255
0,07468901;-0,05998464;0,148496
0,07488447;-0,05765883;0,1493552
0,07499725;-0,05455153;0,1509697
0,07471805;-0,04763718;0,1535413
0,07473417;-0,03669566;0,1586289
0,07452136;-0,03376614;0,1605742
