x,y,z;;
0,375521648;-0,05;-0,001769235
0,375010948;-0,05;-0,000823895
0,376892248;-0,05;0,000175155
0,377734848;-0,05;0,001481655
0,378629148;-0,05;0,001583125
0,379470548;-0,05;0,001424085
0,378697248;-0,05;0,001114975
0,380329548;-0,05;-0,000686735
0,380038948;-0,05;-0,001046055
0,378803248;-0,05;-0,001867165
0,377359548;-0,05;-0,002317585
0,376021348;-0,05;-0,002924355
0,374705848;-0,05;-0,003511245
0,372754248;-0,05;-0,004442035
0,371030548;-0,05;-0,005009775
0,368391748;-0,05;-0,005176585
0,366230848;-0,05;-0,005169735
0,364614448;-0,05;-0,005749645
0,362228548;-0,05;-0,005642525
0,359099748;-0,05;-0,004328325
0,357290248;-0,05;-0,004456985
0,355435648;-0,05;-0,003881655
0,352553348;-0,05;-0,002979605
0,350851848;-0,05;-0,003393795
0,348647848;-0,05;-0,002870205
0,346394448;-0,05;-0,002610155
0,344780348;-0,05;-0,003269414
0,34371144;-0,05;-0,003276424
0,340320334;-0,05;-0,001698287
0,338909252;-0,05;-0,002862732
0,337578916;-0,05;-0,003432801
0,335045789;-0,05;-0,002906415
0,332324142;-0,05;-0,003895011
0,329924985;-0,05;-0,003656159
0,325286862;-0,05;-0,004923239
0,322722202;-0,05;-0,005022991
0,320564271;-0,05;-0,005758234
0,316962716;-0,05;-0,006864448
0,314019164;-0,05;-0,007828358
0,311424259;-0,05;-0,008675932
0,3064965;-0,05;-0,010402241
0,304291962;-0,05;-0,011181135
0,301891953;-0,05;-0,011971174
0,296605991;-0,05;-0,013820563
0,293884003;-0,05;-0,014987324
0,291334297;-0,05;-0,01583916
0,288275852;-0,05;-0,016810881
0,286525274;-0,05;-0,017494733
0,282406955;-0,05;-0,018403499
0,279182911;-0,05;-0,019337108
0,274549308;-0,05;-0,020003635
0,272280125;-0,05;-0,020412061
0,26879409;-0,05;-0,020840079
0,267083772;-0,05;-0,020783552
0,264181014;-0,05;-0,021012538
0,260655213;-0,05;-0,020920933
0,256384488;-0,05;-0,02141762
0,254089908;-0,05;-0,021792674
0,249014657;-0,05;-0,01936887
0,246014484;-0,05;-0,018643637
0,243833373;-0,05;-0,017668126
0,241255066;-0,05;-0,016387501
0,238592207;-0,05;-0,014972172
0,237367379;-0,05;-0,013584342
0,235121676;-0,05;-0,011544486
0,232162883;-0,05;-0,009828393
0,230504982;-0,05;-0,008973024
0,227598043;-0,05;-0,007326573
0,224533795;-0,05;-0,005498696
0,222297253;-0,05;-0,004286224
0,219246882;-0,05;-0,001992821
0,217119724;-0,05;-0,000399263
0,214167617;-0,05;0,003105459
0,209710467;-0,05;0,005752652
0,205339592;-0,05;0,012066571
0,201724754;-0,05;0,014055379
0,197697079;-0,05;0,018319583
0,194004954;-0,05;0,022371478
0,190940039;-0,05;0,025107039
0,186045355;-0,05;0,030074643
0,18105836;-0,05;0,035400342
0,178266986;-0,05;0,03726029
0,17463623;-0,05;0,042548965
0,173938877;-0,05;0,05951164
0,173509408;-0,05;0,060826269
0,172823773;-0,05;0,061386661
0,170620268;-0,05;0,062477414
0,169863352;-0,05;0,062288706
0,169976341;-0,05;0,062159195
0,170127828;-0,05;0,062861236
0,170449576;-0,05;0,062882568
0,17063957;-0,05;0,06190493
0,17088547;-0,05;0,061221173
0,17025557;-0,05;0,059652836
0,170623501;-0,05;0,059623539
0,17072638;-0,05;0,056562681
0,1708292;-0,05;0,05554806
0,170527087;-0,05;0,055041531
0,169931197;-0,05;0,05159677
0,169724432;-0,05;0,04962399
0,169626473;-0,05;0,048394126
0,169080213;-0,05;0,045806617
0,168331835;-0,05;0,043544661
0,167563518;-0,05;0,042232878
0,16548556;-0,05;0,037843184
0,164376436;-0,05;0,036816271
0,163948173;-0,05;0,034705816
0,162742901;-0,05;0,030643676
0,162592781;-0,05;0,027523858
0,163105867;-0,05;0,024863187
0,1635056;-0,05;0,019332914
0,163762789;-0,05;0,018612699
0,164065894;-0,05;0,016102814
0,16375035;-0,05;0,011708366
0,164119686;-0,05;0,00826266
0,16399136;-0,05;0,00518544
0,163897047;-0,05;-0,000282207
0,163863259;-0,05;-0,003543678
0,164030179;-0,05;-0,007108711
0,164047515;-0,05;-0,012541953
0,163874059;-0,05;-0,01542243
0,163969645;-0,05;-0,019569836
0,163842557;-0,05;-0,02482498
0,16368791;-0,05;-0,028795135
0,163469733;-0,05;-0,033116792
0,163640979;-0,05;-0,036479375
0,163743159;-0,05;-0,038380088
0,163813824;-0,05;-0,040422021
0,163994073;-0,05;-0,041278831
0,164183229;-0,05;-0,04284367
0,164261729;-0,05;-0,043813775
0,162966467;-0,05;-0,046390477
0,16281892;-0,05;-0,04733614
0,162333286;-0,05;-0,049343326
0,16065887;-0,05;-0,051466593
0,158607531;-0,05;-0,053436762
0,15694589;-0,05;-0,053938302
0,154651335;-0,05;-0,055433078
0,15331307;-0,05;-0,056531561
0,151428477;-0,05;-0,057316227
0,148026244;-0,05;-0,057495171
0,144669438;-0,05;-0,058351486
0,142131414;-0,05;-0,058763603
0,13782086;-0,05;-0,059608449
0,135506452;-0,05;-0,060570278
0,133585151;-0,05;-0,060885214
0,129152639;-0,05;-0,061833531
0,126205083;-0,05;-0,063630377
0,124014406;-0,05;-0,065225699
0,122365626;-0,05;-0,067305425
0,121610118;-0,05;-0,069166393
0,121463692;-0,05;-0,071626937
0,121132949;-0,05;-0,075968897
