x,y,z
0,3662144;-0,05;0,04735688
0,3657037;-0,05;0,04830222
0,367585;-0,05;0,04930127
0,3684276;-0,05;0,05060777
0,3693219;-0,05;0,05070924
0,3701633;-0,05;0,0505502
0,36939;-0,05;0,05024109
0,3710223;-0,05;0,04843938
0,3707317;-0,05;0,04808006
0,369496;-0,05;0,04725895
0,3680523;-0,05;0,04680853
0,3667141;-0,05;0,04620176
0,3653986;-0,05;0,04561487
0,363447;-0,05;0,04468408
0,3617233;-0,05;0,04411634
0,3590845;-0,05;0,04394953
0,3569236;-0,05;0,04395638
0,3553072;-0,05;0,04337647
0,3529213;-0,05;0,04348359
0,3497925;-0,05;0,04479779
0,347983;-0,05;0,04466913
0,3461284;-0,05;0,04524446
0,3432461;-0,05;0,04614651
0,3415446;-0,05;0,04573232
0,3393406;-0,05;0,04625591
0,3370872;-0,05;0,04651596
0,3347572;-0,05;0,04571565
0,3332822;-0,05;0,04562379
0,3292338;-0,05;0,04705711
0,3279214;-0,05;0,045915
0,32668;-0,05;0,04536488
0,3242149;-0,05;0,04590641
0,3223487;-0,05;0,04509979
0,3199857;-0,05;0,04534599
0,3167414;-0,05;0,0443411
0,3145072;-0,05;0,04429753
0,3129293;-0,05;0,0436554
0,3099798;-0,05;0,04264554
0,3077345;-0,05;0,0417751
0,3057956;-0,05;0,04100624
0,3016142;-0,05;0,03935882
0,2996997;-0,05;0,03860753
0,2977537;-0,05;0,03785728
0,2928825;-0,05;0,0360406
0,2896642;-0,05;0,03483429
0,2874333;-0,05;0,03400843
0,2848364;-0,05;0,03307068
0,2829021;-0,05;0,03237382
0,2806025;-0,05;0,03156393
0,2780288;-0,05;0,03064957
0,276119;-0,05;0,02997172
0,2748452;-0,05;0,0295221
0,2732365;-0,05;0,02896218
0,27257;-0,05;0,02891455
0,2713242;-0,05;0,02847458
0,2700248;-0,05;0,02819333
0,2674284;-0,05;0,02734745
0,2658458;-0,05;0,02680567
0,2626734;-0,05;0,02872935
0,2611665;-0,05;0,02900525
0,2598644;-0,05;0,02969226
0,2585131;-0,05;0,03053968
0,2576009;-0,05;0,03127358
0,2572724;-0,05;0,03228275
0,2560938;-0,05;0,03384461
0,2551581;-0,05;0,03457003
0,2543226;-0,05;0,0349897
0,2525719;-0,05;0,03598978
0,2516835;-0,05;0,03648813
0,2504479;-0,05;0,03703618
0,2485554;-0,05;0,03851657
0,2476458;-0,05;0,03920072
0,2452686;-0,05;0,04225554
0,2419076;-0,05;0,04400634
0,2383541;-0,05;0,0496171
0,2356253;-0,05;0,05080797
0,2320452;-0,05;0,05465423
0,2289556;-0,05;0,05812693
0,2261524;-0,05;0,06060478
0,221377;-0,05;0,06545366
0,2169652;-0,05;0,07019544
0,2151357;-0,05;0,07103451
0,2117152;-0,05;0,07609222
0,2098186;-0,05;0,07834181
0,2079645;-0,05;0,08036119
0,2062524;-0,05;0,08288711
0,2042654;-0,05;0,08609802
0,203773;-0,05;0,08689145
0,202233;-0,05;0,08885755
0,2016716;-0,05;0,09112196
0,2014802;-0,05;0,09181976
0,2005835;-0,05;0,09388034
0,2003691;-0,05;0,09586202
0,2001054;-0,05;0,0958457
0,1996053;-0,05;0,09755193
0,1992193;-0,05;0,09906955
0,1984965;-0,05;0,09942597
0,1975907;-0,05;0,1014328
0,1972635;-0,05;0,1016586
0,1968416;-0,05;0,1030971
0,1959855;-0,05;0,1040703
0,1949519;-0,05;0,1054847
0,1939509;-0,05;0,1069016
0,1922496;-0,05;0,1074433
0,1900974;-0,05;0,1106745
0,18838;-0,05;0,1136385
0,1849083;-0,05;0,1162746
0,1823513;-0,05;0,1177999
0,1796824;-0,05;0,1185818
0,1757949;-0,05;0,120984
0,1726962;-0,05;0,1222229
0,1699567;-0,05;0,1224124
0,1660713;-0,05;0,1223263
0,1637419;-0,05;0,1218837
0,1619054;-0,05;0,1206673
0,1596902;-0,05;0,1201205
0,1590607;-0,05;0,1189012
0,15837;-0,05;0,1182218
0,156919;-0,05;0,1178703
