x,y,z
0,03017275;-0,05;0,3278194
0,02953112;-0,05;0,3282248
0,02950729;-0,05;0,3280128
0,02954074;-0,05;0,328428
0,02914907;-0,05;0,3294671
0,02913545;-0,05;0,3295847
0,02870339;-0,05;0,3295955
0,02846599;-0,05;0,3294542
0,02821796;-0,05;0,3286435
0,02817751;-0,05;0,3278311
0,02809533;-0,05;0,3261986
0,02782559;-0,05;0,3249888
0,02777299;-0,05;0,3243042
0,02787841;-0,05;0,3220068
0,02776549;-0,05;0,3199395
0,02747485;-0,05;0,3182164
0,02756918;-0,05;0,315601
0,02748057;-0,05;0,3135939
0,02737748;-0,05;0,3113855
0,02717862;-0,05;0,3069504
0,02700182;-0,05;0,3033257
0,02685434;-0,05;0,3005009
0,02662819;-0,05;0,2959484
0,02675425;-0,05;0,2937928
0,02689375;-0,05;0,2917812
0,02699097;-0,05;0,2889568
0,02688713;-0,05;0,2869529
0,02679925;-0,05;0,2852104
0,02665485;-0,05;0,2821438
0,02680754;-0,05;0,280589
0,02671445;-0,05;0,2787884
0,0270287;-0,05;0,2757528
0,02739955;-0,05;0,2737294
0,02829114;-0,05;0,2724049
0,02934739;-0,05;0,269553
0,03026622;-0,05;0,268448
0,03092391;-0,05;0,2669637
0,03295325;-0,05;0,2630839
0,03390037;-0,05;0,2618661
0,03554489;-0,05;0,2602836
0,03693488;-0,05;0,2582425
0,03858391;-0,05;0,2564104
0,04026554;-0,05;0,2549647
0,04294403;-0,05;0,2531206
0,0441462;-0,05;0,2519025
0,04558181;-0,05;0,2508821
0,04804416;-0,05;0,2487993
0,0495524;-0,05;0,2473418
0,05102832;-0,05;0,2467984
0,05353487;-0,05;0,2452934
0,05478892;-0,05;0,2446985
0,05632931;-0,05;0,243786
0,05836067;-0,05;0,2423595
0,05964716;-0,05;0,2418435
0,06088413;-0,05;0,2416019
0,0626774;-0,05;0,2404313
0,06345713;-0,05;0,2399133
0,06499712;-0,05;0,2392227
0,06702021;-0,05;0,2387209
0,06854872;-0,05;0,2382896
0,06981036;-0,05;0,2379873
0,07187846;-0,05;0,2366618
0,07368571;-0,05;0,2359161
0,07500732;-0,05;0,2344472
0,07714831;-0,05;0,2326205
0,07772714;-0,05;0,2311372
0,07803866;-0,05;0,2298981
0,07888868;-0,05;0,2282193
0,07919297;-0,05;0,2272486
0,07997704;-0,05;0,227013
0,08055374;-0,05;0,225578
0,08110363;-0,05;0,2244795
0,08168158;-0,05;0,2235871
0,08204763;-0,05;0,2212339
0,0820884;-0,05;0,2199937
0,08238845;-0,05;0,2189495
0,08275879;-0,05;0,2167972
0,08283615;-0,05;0,2153624
0,08289821;-0,05;0,2139214
0,0829853;-0,05;0,2118299
0,08304073;-0,05;0,2109777
0,08311403;-0,05;0,2097409
0,08318778;-0,05;0,2080378
0,08302353;-0,05;0,2057966
0,08306153;-0,05;0,20489
0,08320501;-0,05;0,2015015
0,08327077;-0,05;0,2002787
0,08309294;-0,05;0,1983194
0,08299571;-0,05;0,1946726
0,0827731;-0,05;0,193496
0,08258835;-0,05;0,1914701
0,08181059;-0,05;0,1908046
0,0815559;-0,05;0,1905216
0,08052898;-0,05;0,1892622
0,07921714;-0,05;0,1875174
0,07786138;-0,05;0,1868289
0,07678594;-0,05;0,1857451
0,07511952;-0,05;0,1853061
0,07350197;-0,05;0,1840238
0,07158709;-0,05;0,18353
0,06858298;-0,05;0,1824232
0,06606632;-0,05;0,182181
0,06412327;-0,05;0,1821354
0,0610662;-0,05;0,1820683
0,05914514;-0,05;0,1820339
0,05721733;-0,05;0,1820148
0,05390418;-0,05;0,181988
0,05168955;-0,05;0,1819806
0,04947493;-0,05;0,1819805
0,04559972;-0,05;0,1820183
0,04364116;-0,05;0,1820246
0,04142935;-0,05;0,1820625
0,03809942;-0,05;0,1821174
0,03642794;-0,05;0,1821422
0,03475454;-0,05;0,1821819
0,03226771;-0,05;0,1822593
0,03032349;-0,05;0,1823213
0,0289391;-0,05;0,1823591
0,02592618;-0,05;0,1824927
0,02398467;-0,05;0,1825622
0,0220441;-0,05;0,1823923
0,01705944;-0,05;0,1826328
0,01375089;-0,05;0,1828263
0,01015067;-0,05;0,1827934
0,005386021;-0,05;0,1825455
0,003113691;-0,05;0,1824851
0,001965337;-0,05;0,1822857
0,0005357005;-0,05;0,1823605
0,0004921444;-0,05;0,1821442
0,0002078116;-0,05;0,1821506
-0,000381995;-0,05;0,1817409
-0,0009702183;-0,05;0,1812551
-0,00158694;-0,05;0,1807677
-0,002519418;-0,05;0,1795885
-0,003391881;-0,05;0,1792177
-0,004271936;-0,05;0,1788199
-0,005717743;-0,05;0,1784266
-0,006028827;-0,05;0,1781853
-0,006860416;-0,05;0,178249
-0,007444914;-0,05;0,1780359
-0,007488508;-0,05;0,1774912
-0,007833358;-0,05;0,1767356
-0,008180808;-0,05;0,1759917
-0,009043369;-0,05;0,1758195
-0,009953756;-0,05;0,1751156
-0,01170805;-0,05;0,1745166
-0,01229535;-0,05;0,1742969
-0,01260595;-0,05;0,17406
-0,01373668;-0,05;0,174154
-0,01484519;-0,05;0,17427
-0,01574491;-0,05;0,1738979
-0,01688354;-0,05;0,1737448
-0,01802479;-0,05;0,1736048
-0,0189123;-0,05;0,1732441
-0,02215567;-0,05;0,1720796
-0,02358748;-0,05;0,171977
-0,02529355;-0,05;0,1719011
-0,02737552;-0,05;0,1711495
-0,02822951;-0,05;0,1709993
-0,02885924;-0,05;0,1705985
-0,02983503;-0,05;0,1694945
-0,03083741;-0,05;0,1683232
-0,0312363;-0,05;0,1674583
-0,03219982;-0,05;0,1664879
-0,03232964;-0,05;0,1653938
-0,03240253;-0,05;0,16484
-0,03376651;-0,05;0,1631521
-0,03446303;-0,05;0,1622591
-0,03543797;-0,05;0,1614874
-0,03672904;-0,05;0,1604303
-0,03736973;-0,05;0,1599994
-0,03770455;-0,05;0,1595949
-0,03832035;-0,05;0,1592311
-0,03865774;-0,05;0,1588388
-0,03998049;-0,05;0,1575263
-0,04038595;-0,05;0,1567011
-0,0408542;-0,05;0,1553398
-0,04103201;-0,05;0,1541293
-0,04127525;-0,05;0,152422
-0,04170794;-0,05;0,1514662
-0,04218488;-0,05;0,1499865
-0,04242786;-0,05;0,1482507
-0,04268147;-0,05;0,1464222
-0,04295127;-0,05;0,1444668
-0,04317666;-0,05;0,1427313
-0,04337431;-0,05;0,1412791
-0,04348658;-0,05;0,140346
-0,04361847;-0,05;0,1394056
-0,04374582;-0,05;0,1384666
-0,04387758;-0,05;0,137527
-0,04409483;-0,05;0,1359631
-0,0443044;-0,05;0,1344139
-0,04491363;-0,05;0,1323196
-0,04515691;-0,05;0,1305074
-0,04530549;-0,05;0,1294696
-0,04590649;-0,05;0,1273714
-0,04660056;-0,05;0,1246657
-0,04703017;-0,05;0,1238529
-0,04722293;-0,05;0,1224838
-0,04820112;-0,05;0,119996
-0,04884626;-0,05;0,1196668
-0,05003097;-0,05;0,117918
-0,05167499;-0,05;0,1171293
-0,0532852;-0,05;0,1167299
-0,05454213;-0,05;0,1165473
-0,05725614;-0,05;0,1150313
-0,05890867;-0,05;0,1143299
-0,06012856;-0,05;0,1143459
-0,06181211;-0,05;0,1136391
-0,06320176;-0,05;0,112717
-0,06484999;-0,05;0,1121017
-0,06803563;-0,05;0,1097566
-0,06918325;-0,05;0,1086089
-0,07076479;-0,05;0,1066343
-0,07341948;-0,05;0,1041723
-0,07503602;-0,05;0,1021026
-0,07657017;-0,05;0,1007829
-0,07928148;-0,05;0,09634184
-0,08030398;-0,05;0,094192
-0,08113281;-0,05;0,09156051
-0,08133133;-0,05;0,08871125
-0,08158943;-0,05;0,08722882
-0,08154766;-0,05;0,0855639
-0,08053827;-0,05;0,0839906
-0,08013718;-0,05;0,0826169
-0,07903217;-0,05;0,08148935
-0,07676618;-0,05;0,07983
-0,07467811;-0,05;0,07860749
-0,07280573;-0,05;0,07793278
-0,06813981;-0,05;0,07652115
-0,06570736;-0,05;0,07528921
-0,0635038;-0,05;0,0746455
-0,06093718;-0,05;0,0742998
-0,05968626;-0,05;0,07394402
-0,05840901;-0,05;0,07376697
-0,05635233;-0,05;0,07218244
-0,05447873;-0,05;0,07159975
-0,05257163;-0,05;0,07115663
-0,04873959;-0,05;0,07064818
-0,04650549;-0,05;0,0703572
-0,04394234;-0,05;0,07003573
-0,04073435;-0,05;0,06964165
-0,03912167;-0,05;0,06946091
-0,03622777;-0,05;0,06911432
-0,03173362;-0,05;0,06860603
-0,02883284;-0,05;0,06831553
-0,02687824;-0,05;0,0681197
-0,02330389;-0,05;0,06779329
-0,02104189;-0,05;0,06758352
-0,01845295;-0,05;0,06734104
-0,01522307;-0,05;0,06705777
-0,01361472;-0,05;0,06691175
-0,01231517;-0,05;0,06681645
-0,009083178;-0,05;0,06655847
-0,007797059;-0,05;0,06645186
-0,006492306;-0,05;0,06636718
-0,004867051;-0,05;0,06624614
-0,00389633;-0,05;0,06618544
-0,00325701;-0,05;0,06612143
-0,001315236;-0,05;0,06600524
2,53208E-05;-0,05;0,06669421
0,001012448;-0,05;0,06663488
0,001680922;-0,05;0,06660064
0,002986986;-0,05;0,06651976
0,003957361;-0,05;0,06646872
0,005892385;-0,05;0,06634475
0,006874036;-0,05;0,06630327
0,008798435;-0,05;0,06618055
0,0107497;-0,05;0,06607562
0,01205066;-0,05;0,06602035
0,01367228;-0,05;0,06593645
0,01789543;-0,05;0,06592311
0,02080749;-0,05;0,06580436
0,02437381;-0,05;0,06567387
0,02892334;-0,05;0,06554523
0,03282436;-0,05;0,06563634
0,03414053;-0,05;0,06560028
0,03707648;-0,05;0,06608389
0,0380602;-0,05;0,06606926
0,0393489;-0,05;0,06623077
0,04160191;-0,05;0,06619823
0,04288427;-0,05;0,06617419
0,04480729;-0,05;0,06615195
0,0483536;-0,05;0,06611063
0,05027846;-0,05;0,06609043
0,05253619;-0,05;0,06609049
0,0554788;-0,05;0,06611446
0,05740364;-0,05;0,06611187
0,05871747;-0,05;0,06612822
0,061647;-0,05;0,0661802
0,06296352;-0,05;0,06621578
0,06458946;-0,05;0,06623771
0,06721474;-0,05;0,06629156
0,06851722;-0,05;0,0663177
0,06982417;-0,05;0,06634686
0,07275043;-0,05;0,06642726
0,0743808;-0,05;0,0660514
0,07600782;-0,05;0,06585785
0,07828619;-0,05;0,06543413
0,07992345;-0,05;0,06505866
0,08186869;-0,05;0,06470083
0,08354601;-0,05;0,0637456
0,08454132;-0,05;0,06311667
0,0855302;-0,05;0,06272669
0,08851417;-0,05;0,06144831
0,09018264;-0,05;0,06068037
0,09121925;-0,05;0,05982089
0,09227712;-0,05;0,05874334
0,09262319;-0,05;0,05826044
0,09299076;-0,05;0,05767833
0,094375;-0,05;0,05615839
0,09509972;-0,05;0,05485999
0,09581552;-0,05;0,05379938
0,09721427;-0,05;0,05212239
0,09792979;-0,05;0,05124273
0,09932494;-0,05;0,04980781
0,101394;-0,05;0,04810481
0,1021393;-0,05;0,04656744
0,1028933;-0,05;0,04537352
0,1029697;-0,05;0,0440162
0,1030705;-0,05;0,04252596
0,1034856;-0,05;0,04139357
0,1035605;-0,05;0,04014508
0,1039245;-0,05;0,03950871
0,1040361;-0,05;0,03768955
0,1044406;-0,05;0,03647391
0,1045099;-0,05;0,03533264
0,1049031;-0,05;0,03453218
0,1049469;-0,05;0,03388188
0,104971;-0,05;0,03347544
0,1053288;-0,05;0,03282503
0,1054143;-0,05;0,03142265
0,1055041;-0,05;0,02997046
0,1062606;-0,05;0,02877615
0,1062982;-0,05;0,02788864
0,1066773;-0,05;0,02684748
0,1074375;-0,05;0,0257481
0,1089446;-0,05;0,02352221
0,1093165;-0,05;0,02297822
0,1100601;-0,05;0,02220858
0,1105074;-0,05;0,02083376
0,1112585;-0,05;0,01999604
0,1119923;-0,05;0,01914041
0,1151819;-0,05;0,01800263
0,116611;-0,05;0,01729901
0,1184132;-0,05;0,016613
0,1216262;-0,05;0,0155904
0,1237587;-0,05;0,01494679
0,1255516;-0,05;0,0144587
0,1283643;-0,05;0,0141408
0,131492;-0,05;0,01376545
0,1339032;-0,05;0,01357425
