X;Y;Z
-0,003782534;-0,05;0,2449039
-0,003803183;-0,05;0,2380354
-0,003614801;-0,05;0,2293742
-0,003964766;-0,05;0,2636754
-0,004234617;-0,05;0,2731228
0,3992588;-0,05;0,07092711
0,3988445;-0,05;0,06876904
0,394451;-0,05;0,07007853
0,3940282;-0,05;0,06856462
0,3901356;-0,05;0,07056738
0,3869071;-0,05;0,06993025
0,3871723;-0,05;0,06882116
0,382621;-0,05;0,06918751
0,381134;-0,05;0,06767521
0,3745655;-0,05;0,06973021
0,3736593;-0,05;0,06627958
0,3685734;-0,05;0,06583536
0,3639545;-0,05;0,06589839
0,3613688;-0,05;0,06483307
0,3575792;-0,05;0,06422595
0,3528018;-0,05;0,06620841
0,3544168;-0,05;0,06374016
0,3502484;-0,05;0,06362605
0,3483288;-0,05;0,0628228
0,346047;-0,05;0,06370158
0,3415001;-0,05;0,06366067
0,3427317;-0,05;0,06117608
0,3381674;-0,05;0,06270371
0,3377391;-0,05;0,06057343
0,3354322;-0,05;0,05988654
0,3324402;-0,05;0,05983476
0,32941;-0,05;0,05841416
0,3283412;-0,05;0,05750579
0,3253022;-0,05;0,05759914
0,3243302;-0,05;0,05669143
0,3216618;-0,05;0,05505879
0,3187213;-0,05;0,05569842
0,3181674;-0,05;0,05367325
0,3143447;-0,05;0,05474511
0,315007;-0,05;0,05240216
0,3113724;-0,05;0,05130082
0,3077604;-0,05;0,05189099
0,3066089;-0,05;0,05029627
0,3010315;-0,05;0,05137353
0,299728;-0,05;0,05007522
0,2967703;-0,05;0,05029468
0,2916082;-0,05;0,05157411
0,2898886;-0,05;0,04947203
0,2870744;-0,05;0,0502837
0,2814228;-0,05;0,05298528
0,281789;-0,05;0,05139324
0,2773036;-0,05;0,05362979
0,2729048;-0,05;0,05514694
0,2723262;-0,05;0,05415124
0,2681;-0,05;0,05678494
0,2664967;-0,05;0,05658843
0,2631571;-0,05;0,05922433
0,2619353;-0,05;0,05869169
0,2587499;-0,05;0,06105857
0,2537558;-0,05;0,06448095
0,2532355;-0,05;0,06430721
0,2482893;-0,05;0,06571996
0,2437864;-0,05;0,06896828
0,2434261;-0,05;0,06840289
0,2386696;-0,05;0,06954187
0,2357475;-0,05;0,07125137
0,2338251;-0,05;0,07232062
0,2286206;-0,05;0,07718004
0,2260135;-0,05;0,07599752
0,2234363;-0,05;0,07815508
0,2186367;-0,05;0,08325724
0,2184666;-0,05;0,0818221
0,2139925;-0,05;0,08573128
0,211571;-0,05;0,08524523
0,2096349;-0,05;0,0878773
0,206596;-0,05;0,09057321
0,2029776;-0,05;0,09587579
0,2027237;-0,05;0,09607274
0,2004115;-0,05;0,09868604
0,1974819;-0,05;0,102597
0,1954787;-0,05;0,1040236
0,1950625;-0,05;0,1061198
0,1922611;-0,05;0,109689
0,1897455;-0,05;0,1120992
0,187532;-0,05;0,1131265
0,1839373;-0,05;0,1152601
0,1829007;-0,05;0,1159903
0,1792708;-0,05;0,1194443
0,1747809;-0,05;0,1203258
0,1728311;-0,05;0,1183347
0,1692571;-0,05;0,1192703
0,1646663;-0,05;0,1183875
0,1611064;-0,05;0,1190821
0,1571818;-0,05;0,1177444
0,1536162;-0,05;0,1148067
0,1509315;-0,05;0,1149755
0,1475988;-0,05;0,1122499
0,1440626;-0,05;0,1103226
0,1418704;-0,05;0,1089778
0,140692;-0,05;0,1077484
0,1377401;-0,05;0,104293
0,1351255;-0,05;0,1037939
0,1340839;-0,05;0,09945677
0,1315582;-0,05;0,09646823
0,1311123;-0,05;0,09422489
0,1297933;-0,05;0,09260839
0,1285182;-0,05;0,08966057
0,12839;-0,05;0,0851458
0,1271386;-0,05;0,08130415
0,1250675;-0,05;0,07660893
0,1234255;-0,05;0,07486492
0,1220638;-0,05;0,07119388
0,1187765;-0,05;0,06763034
0,1165568;-0,05;0,06554675
0,1130856;-0,05;0,06513181
0,1082962;-0,05;0,06301084
0,1042797;-0,05;0,05931362
0,100892;-0,05;0,05881424
0,09404618;-0,05;0,05729886
0,08930805;-0,05;0,05684756
