X;Y;Z
0,356907152;-0,05;0,096482995
0,356396452;-0,05;0,097428335
0,358277752;-0,05;0,098427385
0,359120352;-0,05;0,099733885
0,360014652;-0,05;0,099835355
0,360856052;-0,05;0,099676315
0,360082752;-0,05;0,099367205
0,361715052;-0,05;0,097565495
0,361424452;-0,05;0,097206175
0,360188752;-0,05;0,096385065
0,358745052;-0,05;0,095934645
0,357406852;-0,05;0,095327875
0,356091352;-0,05;0,094740985
0,354139752;-0,05;0,093810195
0,352416052;-0,05;0,093242455
0,349777252;-0,05;0,093075645
0,347616352;-0,05;0,093082495
0,345999952;-0,05;0,092502585
0,343614052;-0,05;0,092609705
0,340485252;-0,05;0,093923905
0,338675752;-0,05;0,093795245
0,336821152;-0,05;0,094370575
0,333938852;-0,05;0,095272625
0,332237352;-0,05;0,094858435
0,330033352;-0,05;0,095382025
0,327779952;-0,05;0,095642075
0,324734052;-0,05;0,094700714
0,32285296;-0,05;0,094524004
0,318147266;-0,05;0,095812507
0,316933548;-0,05;0,094692732
0,315781084;-0,05;0,094162561
0,313384011;-0,05;0,094719235
0,312373258;-0,05;0,094094591
0,310046415;-0,05;0,094348139
0,308195938;-0,05;0,093605439
0,306292198;-0,05;0,093618051
0,305294329;-0,05;0,093069034
0,302996884;-0,05;0,092155528
0,301449836;-0,05;0,091378558
0,300166941;-0,05;0,090688412
0,2967319;-0,05;0,089119881
0,295107438;-0,05;0,088396195
0,293615447;-0,05;0,087685734
0,289159009;-0,05;0,085901763
0,285444397;-0,05;0,084655904
0,283532303;-0,05;0,08385602
0,281396948;-0,05;0,082952241
0,279278926;-0,05;0,082242373
0,278798045;-0,05;0,081531359
0,276874689;-0,05;0,080636248
0,277688692;-0,05;0,079947075
0,277410275;-0,05;0,079456261
0,27767891;-0,05;0,078764439
0,278056228;-0,05;0,078612652
0,278467386;-0,05;0,077961698
0,279394387;-0,05;0,077307593
0,278472312;-0,05;0,07611252
0,277601692;-0,05;0,075404014
0,276332143;-0,05;0,07682757
0,276318516;-0,05;0,076654137
0,275895427;-0,05;0,077052646
0,275771134;-0,05;0,077466861
0,276609593;-0,05;0,077519332
0,277177421;-0,05;0,078149842
0,277065924;-0,05;0,079233706
0,278153317;-0,05;0,078968453
0,278140218;-0,05;0,078952424
0,277545757;-0,05;0,079306133
0,278833205;-0,05;0,078474956
0,278598547;-0,05;0,078358584
0,277863918;-0,05;0,079025961
0,278171876;-0,05;0,078800703
0,276369583;-0,05;0,081405621
0,274104733;-0,05;0,082260028
0,271368608;-0,05;0,087167629
0,269525846;-0,05;0,087560561
0,266393321;-0,05;0,090988877
0,263906246;-0,05;0,093882382
0,261364761;-0,05;0,096102521
0,256708645;-0,05;0,100832677
0,25287204;-0,05;0,104990538
0,252004414;-0,05;0,10480873
0,24879417;-0,05;0,109635475
0,246950412;-0,05;0,11182656
0,244951047;-0,05;0,114006329
0,243032666;-0,05;0,116757629
0,24076929;-0,05;0,120266221
0,239812535;-0,05;0,121549088
0,23736182;-0,05;0,124437966
0,236171801;-0,05;0,127312237
0,235398003;-0,05;0,128556426
0,234023411;-0,05;0,131052539
0,233540411;-0,05;0,133274105
0,233049884;-0,05;0,133457679
0,232299997;-0,05;0,135381241
0,231610892;-0,05;0,137158718
0,230690645;-0,05;0,137682172
0,22891457;-0,05;0,140404779
0,228372394;-0,05;0,140802395
0,22668614;-0,05;0,143213224
0,225282182;-0,05;0,144588252
0,223286252;-0,05;0,146681356
0,221259991;-0,05;0,148784933
0,218651945;-0,05;0,149904061
0,215172229;-0,05;0,153932482
0,211946056;-0,05;0,157736584
0,207579213;-0,05;0,160839493
0,202663906;-0,05;0,163487951
0,198797777;-0,05;0,164783557
0,192796951;-0,05;0,16800453
0,1881314;-0,05;0,169780808
0,18284924;-0,05;0,170721637
0,176789513;-0,05;0,171163989
0,171859623;-0,05;0,171220325
0,167607936;-0,05;0,170341046
0,161800121;-0,05;0,170075962
