X;Y;Z
0,3659955;-0,065;0,06842247
0,365536;-0,065;0,0693934
0,3674168;-0,065;0,07034723
0,3683697;-0,065;0,07161202
0,3694887;-0,065;0,07171414
0,3703543;-0,065;0,07153501
0,3697271;-0,065;0,07121745
0,3713973;-0,065;0,06936591
0,3711761;-0,065;0,06901252
0,370007;-0,065;0,0681889
0,3686638;-0,065;0,06772892
0,3673903;-0,065;0,06712359
0,3661157;-0,065;0,06652036
0,3642019;-0,065;0,06561944
0,362505;-0,065;0,0650874
0,3598434;-0,065;0,06496362
0,357516;-0,065;0,06496879
0,35585;-0,065;0,06438423
0,3534693;-0,065;0,06452398
0,3501768;-0,065;0,06584483
0,3483116;-0,065;0,06572635
0,3465111;-0,065;0,06632627
0,3434363;-0,065;0,06722954
0,3417101;-0,065;0,06682685
0,339576;-0,065;0,06735766
0,3371733;-0,065;0,06764984
0,3348781;-0,065;0,06683435
0,3334068;-0,065;0,06674086
0,3293861;-0,065;0,06821368
0,3279981;-0,065;0,0670583
0,3267235;-0,065;0,06651986
0,3242468;-0,065;0,06706136
0,3223345;-0,065;0,06626374
0,3199902;-0,065;0,0665127
0,316674;-0,065;0,06551161
0,3144594;-0,065;0,06546974
0,3128627;-0,065;0,06482486
0,3099237;-0,065;0,06382697
0,3076832;-0,065;0,06293811
0,3057608;-0,065;0,06218136
0,3015892;-0,065;0,06055805
0,299661;-0,065;0,05981635
0,2977309;-0,065;0,0590794
0,2928977;-0,065;0,0572579
0,2896695;-0,065;0,05606015
0,2874067;-0,065;0,05522962
0,2848178;-0,065;0,05428842
0,2828742;-0,065;0,05358812
0,2806044;-0,065;0,05277716
0,2780074;-0,065;0,05185836
0,2760578;-0,065;0,05117487
0,2747571;-0,065;0,05072188
0,2731301;-0,065;0,05015865
0,2724249;-0,065;0,05009177
0,2711224;-0,065;0,04964476
0,2697655;-0,065;0,04935762
0,2671573;-0,065;0,04847449
0,2655258;-0,065;0,04792689
0,2623543;-0,065;0,04983863
0,2608251;-0,065;0,05009534
0,2595186;-0,065;0,05077912
0,258162;-0,065;0,05162456
0,2572069;-0,065;0,05234921
0,2568784;-0,065;0,0533573
0,2556548;-0,065;0,05491671
0,2547089;-0,065;0,05562855
0,2538617;-0,065;0,0560403
0,2521181;-0,065;0,05702717
0,2512447;-0,065;0,05753173
0,2500046;-0,065;0,05807668
0,2481154;-0,065;0,05955752
0,2471947;-0,065;0,06023044
0,2448071;-0,065;0,06332843
0,2414578;-0,065;0,06506
0,2379564;-0,065;0,07073443
0,2351656;-0,065;0,07192032
0,2315779;-0,065;0,07578079
0,2284722;-0,065;0,07926757
0,2256913;-0,065;0,08173354
0,2208694;-0,065;0,08660658
0,2164633;-0,065;0,09137508
0,2145566;-0,065;0,09220157
0,2111216;-0,065;0,09726406
0,2091645;-0,065;0,09951612
0,2072818;-0,065;0,1015358
0,2055943;-0,065;0,1040588
0,2037134;-0,065;0,1073055
0,2031684;-0,065;0,1080991
0,2016549;-0,065;0,1100564
0,201026;-0,065;0,1123382
0,2008374;-0,065;0,1130226
0,1999481;-0,065;0,1150828
0,1997187;-0,065;0,1170817
0,1994051;-0,065;0,1170564
0,1989284;-0,065;0,1187887
0,1985067;-0,065;0,1203212
0,1977717;-0,065;0,1206747
0,1969016;-0,065;0,1226882
0,1965232;-0,065;0,1229096
0,1961307;-0,065;0,1243454
0,1952305;-0,065;0,1253223
0,1942151;-0,065;0,1267309
0,1931906;-0,065;0,1281834
0,191471;-0,065;0,1287266
0,1893457;-0,065;0,1319821
0,1876211;-0,065;0,1349469
0,184131;-0,065;0,1375965
0,1815781;-0,065;0,1391021
0,1789119;-0,065;0,1398966
0,1749412;-0,065;0,1422701
0,1718878;-0,065;0,1435109
0,1691059;-0,065;0,1436915
0,165178;-0,065;0,1436172
0,162856;-0,065;0,143183
0,1610245;-0,065;0,141935
0,1587215;-0,065;0,1414091
0,1580826;-0,065;0,1402147
0,157329;-0,065;0,1395208
0,1558849;-0,065;0,1391988
0,1547841;-0,065;0,1386935
0,1539167;-0,065;0,1385031
0,1516025;-0,065;0,1380005
0,1498657;-0,065;0,1376286
0,1481281;-0,065;0,137261
0,14523;-0,065;0,1366579
0,1431999;-0,065;0,1362428
0,1411685;-0,065;0,1358335
0,1388456;-0,065;0,135373
0,1371511;-0,065;0,1347814
0,1357659;-0,065;0,1341436
0,1335521;-0,065;0,1330923
0,1322353;-0,065;0,132065
0,1311143;-0,065;0,131597
0,1296999;-0,065;0,129419
0,1282615;-0,065;0,1290071
0,1276386;-0,065;0,127414
0,1269082;-0,065;0,1246926
0,1270363;-0,065;0,1222446
0,1269926;-0,065;0,1207608
0,1275048;-0,065;0,1161065
0,1277557;-0,065;0,1146788
0,1280941;-0,065;0,1127526
0,1280343;-0,065;0,1095607
0,1283704;-0,065;0,1076386
0,1283601;-0,065;0,1059147
0,1281006;-0,065;0,1038179
0,1268867;-0,065;0,1036082
0,1254883;-0,065;0,102645
0,1225014;-0,065;0,1018131
0,1212121;-0,065;0,1001417
0,120826;-0,065;0,09866539
0,1206012;-0,065;0,0981181
0,1205368;-0,065;0,09657645
0,1205322;-0,065;0,09465577
0,1204929;-0,065;0,09294122
0,1196653;-0,065;0,09020557
0,1198116;-0,065;0,08928709
0,1198131;-0,065;0,08527165
0,1197639;-0,065;0,08356468
0,1193547;-0,065;0,08210196
0,1187005;-0,065;0,0780758
0,118435;-0,065;0,07563293
0,1183099;-0,065;0,07435283
0,1177699;-0,065;0,07154723
0,1171035;-0,065;0,06953098
0,1163097;-0,065;0,06833045
0,1143245;-0,065;0,06414519
0,1131629;-0,065;0,06314933
0,1127778;-0,065;0,06129041
0,111647;-0,065;0,05773076
0,1114279;-0,065;0,05463218
0,111863;-0,065;0,05155862
0,1123039;-0,065;0,04608714
0,1124754;-0,065;0,04487218
0,1127973;-0,065;0,04259167
0,1126255;-0,065;0,03903898
0,1130491;-0,065;0,03601934
0,1130352;-0,065;0,03370433
0,1132394;-0,065;0,0298111
0,1134902;-0,065;0,02801276
0,1138618;-0,065;0,02534826
0,1143563;-0,065;0,02180304
0,1145799;-0,065;0,0201997
0,1150214;-0,065;0,0170338
0,1155131;-0,065;0,01350846
0,1158962;-0,065;0,01076179
0,1160198;-0,065;0,007367834
0,1164204;-0,065;0,004486749
0,116651;-0,065;0,002828311
0,1166284;-0,065;0,000454838
0,1164908;-0,065;-0,001100562
0,1164391;-0,065;-0,003288732
0,1163083;-0,065;-0,004913433
0,1149139;-0,065;-0,007713058
0,1147034;-0,065;-0,00878933
0,1142461;-0,065;-0,01069064
0,1127101;-0,065;-0,01256744
0,1107688;-0,065;-0,01413154
0,1090498;-0,065;-0,01467883
0,1067317;-0,065;-0,01617502
0,1054174;-0,065;-0,01713943
0,1036706;-0,065;-0,01751459
0,1001365;-0,065;-0,01793361
0,09695431;-0,065;-0,01829831
0,09447835;-0,065;-0,01857382
0,09024886;-0,065;-0,01918996
0,0881409;-0,065;-0,01957038
0,08605508;-0,065;-0,02018075
0,08149884;-0,065;-0,02118426
0,0787532;-0,065;-0,02247366
0,07671163;-0,065;-0,02369067
0,07508914;-0,065;-0,02566031
0,07449727;-0,065;-0,02713899
0,07465236;-0,065;-0,02894788
0,07460874;-0,065;-0,03266342
0,07481568;-0,065;-0,03508871
0,07497597;-0,065;-0,03696737
0,07453041;-0,065;-0,04030843
0,07431173;-0,065;-0,04205195
0,07444875;-0,065;-0,04368154
0,07433698;-0,065;-0,04672782
0,07461409;-0,065;-0,05003992
0,0747489;-0,065;-0,05165117
0,07465553;-0,065;-0,05497296
0,07480131;-0,065;-0,05672399
0,07491494;-0,065;-0,0580889
0,07516842;-0,065;-0,06113352
0,07527568;-0,065;-0,06242192
0,07538956;-0,065;-0,06378969
0,07554713;-0,065;-0,06568243
0,07533171;-0,065;-0,06761733
0,07557837;-0,065;-0,07059486
0,07588081;-0,065;-0,0742458
0,07600617;-0,065;-0,07575908
0,07611908;-0,065;-0,0771221
0,07634436;-0,065;-0,07984161
0,07647545;-0,065;-0,08142398
0,07575324;-0,065;-0,08193814
0,07438452;-0,065;-0,08393636
0,07291504;-0,065;-0,08473326
0,0714545;-0,065;-0,08567521
0,06851933;-0,065;-0,0874793
0,06668916;-0,065;-0,08874086
0,06558865;-0,065;-0,08949532
0,06375048;-0,065;-0,09074862
0,06379639;-0,065;-0,09142014
0,06310444;-0,065;-0,09259027
0,06242538;-0,065;-0,09398145
0,06094424;-0,065;-0,09497479
0,05943169;-0,065;-0,09551938
0,05562997;-0,065;-0,09664655
0,05256765;-0,065;-0,09726954
0,0494901;-0,065;-0,09765986
0,04525119;-0,065;-0,09809657
0,04216922;-0,065;-0,09846278
0,04023606;-0,065;-0,09854749
0,0375471;-0,065;-0,09910418
0,03562104;-0,065;-0,0994017
0,03143767;-0,065;-0,1017736
0,02874869;-0,065;-0,1027465
0,02722706;-0,065;-0,1039009
0,02452794;-0,065;-0,104861
0,02067864;-0,065;-0,1069424
0,01874261;-0,065;-0,1077183
0,01602692;-0,065;-0,108796
0,01214157;-0,065;-0,11069
0,009412331;-0,065;-0,1119679
0,006678864;-0,065;-0,1136708
0,005900338;-0,065;-0,1148453
0,005516615;-0,065;-0,1165201
0,005128777;-0,065;-0,1176825
0,005139203;-0,065;-0,1196328
0,005146178;-0,065;-0,1209376
0,005153143;-0,065;-0,1222405
0,005166687;-0,065;-0,1247742
0,005172104;-0,065;-0,1257875
0,005184479;-0,065;-0,1281026
0,005614324;-0,065;-0,1334928
0,006031194;-0,065;-0,1360602
0,007659434;-0,065;-0,1386027
0,007673858;-0,065;-0,1404488
0,007281064;-0,065;-0,1419495
0,006885467;-0,065;-0,1432256
0,004053197;-0,065;-0,1439468
0,003243964;-0,065;-0,1443763
0,0016236;-0,065;-0,1453628
0,00081237;-0,065;-0,146057
-0,001626019;-0,065;-0,1468331
-0,003661446;-0,065;-0,1476142
-0,006512355;-0,065;-0,1480783
-0,008149143;-0,065;-0,1491282
-0,01018855;-0,065;-0,1493215
-0,01630017;-0,065;-0,1491757
-0,01913864;-0,065;-0,1484141
-0,02236861;-0,065;-0,1471453
-0,02764081;-0,065;-0,1465224
-0,03125991;-0,065;-0,1452108
-0,03652816;-0,065;-0,1448361
-0,04335208;-0,065;-0,1429271
-0,04735961;-0,065;-0,1418874
-0,0509408;-0,065;-0,1405732
-0,05539605;-0,065;-0,1405554
-0,05897571;-0,065;-0,1394244
-0,06172357;-0,065;-0,1380426
-0,06694618;-0,065;-0,1374931
-0,06967311;-0,065;-0,1360132
-0,07238151;-0,065;-0,1343834
-0,07674142;-0,065;-0,1333525
-0,07857279;-0,065;-0,1310475
-0,07962134;-0,065;-0,1291034
-0,08161034;-0,065;-0,1240985
-0,0826242;-0,065;-0,1219263
-0,08350553;-0,065;-0,1182896
-0,08507412;-0,065;-0,1135674
-0,0855393;-0,065;-0,109932
-0,08609039;-0,065;-0,1073088
-0,0871404;-0,065;-0,1058895
-0,08816612;-0,065;-0,1042446
-0,0887787;-0,065;-0,102413
-0,08941579;-0,065;-0,1008705
-0,08995901;-0,065;-0,09837254
-0,09059709;-0,065;-0,09689919
-0,09237405;-0,065;-0,09516198
-0,09302678;-0,065;-0,0939014
-0,09391288;-0,065;-0,09112337
-0,09482849;-0,065;-0,08869987
-0,09499834;-0,065;-0,086582
-0,09628533;-0,065;-0,08411853
-0,09665477;-0,065;-0,08029983
-0,09717628;-0,065;-0,07797929
-0,09727543;-0,065;-0,07530873
-0,09847525;-0,065;-0,07228474
-0,09929054;-0,065;-0,06929816
-0,09974856;-0,065;-0,0665646
-0,1012322;-0,065;-0,06292955
-0,1020391;-0,065;-0,06007256
-0,1028373;-0,065;-0,05719914
-0,103521;-0,065;-0,05339514
-0,1044824;-0,065;-0,0488698
-0,1051903;-0,065;-0,04544533
-0,1047838;-0,065;-0,04201619
-0,1044632;-0,065;-0,03931244
-0,1041995;-0,065;-0,03708836
-0,1034526;-0,065;-0,03386817
-0,1029087;-0,065;-0,0323492
-0,1023643;-0,065;-0,03081456
-0,1020441;-0,065;-0,0280853
-0,1022561;-0,065;-0,0268061
-0,1023055;-0,065;-0,02415923
-0,1023363;-0,065;-0,02137398
-0,1025312;-0,065;-0,01998712
-0,1027371;-0,065;-0,01870177
-0,1028084;-0,065;-0,01630125
-0,1026273;-0,065;-0,0147902
-0,102704;-0,065;-0,01245618
-0,1028174;-0,065;-0,01044263
-0,1034502;-0,065;-0,009797877
-0,103635;-0,065;-0,008398634
-0,1052727;-0,065;-0,007297031
-0,1058644;-0,065;-0,006356975
-0,107147;-0,065;-0,00529422
-0,1090843;-0,065;-0,003847428
-0,1118029;-0,065;-0,003011899
-0,1140621;-0,065;-0,001416137
-0,1176157;-0,065;0,000959784
-0,1196354;-0,065;0,001634367
-0,1222023;-0,065;0,00337744
-0,1258374;-0,065;0,004974573
-0,1284273;-0,065;0,006447201
-0,130374;-0,065;0,007494451
-0,1332798;-0,065;0,009111386
-0,1347261;-0,065;0,01102334
-0,1366672;-0,065;0,01201432
-0,1400303;-0,065;0,01493506
-0,1419601;-0,065;0,01592087
-0,1434769;-0,065;0,01725355
-0,1455526;-0,065;0,01934779
-0,1472501;-0,065;0,02155323
-0,1492001;-0,065;0,0242284
-0,1529651;-0,065;0,02639869
-0,1546425;-0,065;0,02853369
-0,1559407;-0,065;0,03079542
-0,1589648;-0,065;0,03125579
-0,1611231;-0,065;0,03432401
-0,163004;-0,065;0,03527151
-0,1666815;-0,065;0,0375329
-0,1684852;-0,065;0,03880432
-0,1700304;-0,065;0,03964885
-0,1727567;-0,065;0,0413998
-0,1737061;-0,065;0,04337094
-0,1749099;-0,065;0,04415519
-0,1765397;-0,065;0,04611019
-0,1775531;-0,065;0,04618504
-0,1788882;-0,065;0,04635922
-0,1804821;-0,065;0,04842006
-0,1809655;-0,065;0,05080729
-0,182173;-0,065;0,05151021
-0,1831136;-0,065;0,05335667
-0,1836019;-0,065;0,05565601
-0,1840974;-0,065;0,05645078
-0,1855369;-0,065;0,05756927
-0,1864425;-0,065;0,0609105
-0,1872223;-0,065;0,0619046
-0,187904;-0,065;0,06469786
-0,1883099;-0,065;0,06720275
-0,1894489;-0,065;0,06806356
-0,1919846;-0,065;0,07143342
-0,1923823;-0,065;0,07387596
-0,1934033;-0,065;0,07515164
-0,1946766;-0,065;0,07805305
-0,1953048;-0,065;0,07951841
-0,1968002;-0,065;0,0827746
-0,1976961;-0,065;0,08698898
-0,1981436;-0,065;0,08906968
-0,1986787;-0,065;0,09080125
-0,19968;-0,065;0,09447763
-0,1998613;-0,065;0,09625801
-0,2003756;-0,065;0,09922489
-0,2021169;-0,065;0,1012521
-0,2031273;-0,065;0,1035289
-0,2039709;-0,065;0,1063771
-0,2057105;-0,065;0,1094669
-0,2071916;-0,065;0,1122655
-0,2076;-0,065;0,1142433
-0,2090858;-0,065;0,1169495
-0,2102445;-0,065;0,1185196
-0,2123322;-0,065;0,1202016
-0,2143978;-0,065;0,1240921
-0,2167162;-0,065;0,1260002
-0,2185014;-0,065;0,1275229
-0,2222015;-0,065;0,1280365
-0,2245578;-0,065;0,1307817
