x,y,z
-0,02982725;-0,05;0,3278194
-0,03046888;-0,05;0,3282248
-0,03049271;-0,05;0,3280128
-0,03045926;-0,05;0,328428
-0,03085093;-0,05;0,3294671
-0,03086455;-0,05;0,3295847
-0,03129661;-0,05;0,3295955
-0,03153401;-0,05;0,3294542
-0,03178203;-0,05;0,3286435
-0,03182249;-0,05;0,3278311
-0,03190467;-0,05;0,3261986
-0,03217441;-0,05;0,3249888
-0,03222701;-0,05;0,3243042
-0,03212159;-0,05;0,3220068
-0,03223451;-0,05;0,3199395
-0,03252515;-0,05;0,3182164
-0,03243082;-0,05;0,315601
-0,03251943;-0,05;0,3135939
-0,03262252;-0,05;0,3113855
-0,03282138;-0,05;0,3069504
-0,03299818;-0,05;0,3033257
-0,03314565;-0,05;0,3005009
-0,03337181;-0,05;0,2959484
-0,03324575;-0,05;0,2937928
-0,03310625;-0,05;0,2917812
-0,03300903;-0,05;0,2889568
-0,03311287;-0,05;0,2869529
-0,03320074;-0,05;0,2852104
-0,03334515;-0,05;0,2821438
-0,03319246;-0,05;0,280589
-0,03328555;-0,05;0,2787884
-0,0329713;-0,05;0,2757528
-0,03260045;-0,05;0,2737294
-0,03170886;-0,05;0,2724049
-0,03065261;-0,05;0,269553
-0,02973378;-0,05;0,268448
-0,02907609;-0,05;0,2669637
-0,02704675;-0,05;0,2630839
-0,02609963;-0,05;0,2618661
-0,02445511;-0,05;0,2602836
-0,02306512;-0,05;0,2582425
-0,02141609;-0,05;0,2564104
-0,01973446;-0,05;0,2549647
-0,01705597;-0,05;0,2531206
-0,0158538;-0,05;0,2519025
-0,01441819;-0,05;0,2508821
-0,01195584;-0,05;0,2487993
-0,0104476;-0,05;0,2473418
-0,00897168;-0,05;0,2467984
-0,006465125;-0,05;0,2452934
-0,005211076;-0,05;0,2446985
-0,003670686;-0,05;0,243786
-0,001639326;-0,05;0,2423595
-0,0003528404;-0,05;0,2418435
0,0008841273;-0,05;0,2416019
0,002677403;-0,05;0,2404313
0,003457132;-0,05;0,2399133
0,004997119;-0,05;0,2392227
0,007020213;-0,05;0,2387209
0,008548721;-0,05;0,2382896
0,00981036;-0,05;0,2379873
0,01187847;-0,05;0,2366618
0,01368571;-0,05;0,2359161
0,01500732;-0,05;0,2344472
0,01714831;-0,05;0,2326205
0,01772714;-0,05;0,2311372
0,01803867;-0,05;0,2298981
0,01888868;-0,05;0,2282193
0,01919297;-0,05;0,2272486
0,01997704;-0,05;0,227013
0,02055374;-0,05;0,225578
0,02110363;-0,05;0,2244795
0,02168158;-0,05;0,2235871
0,02204763;-0,05;0,2212339
0,0220884;-0,05;0,2199937
0,02238844;-0,05;0,2189495
0,02275879;-0,05;0,2167972
0,02283615;-0,05;0,2153624
0,02289822;-0,05;0,2139214
0,0229853;-0,05;0,2118299
0,02304073;-0,05;0,2109777
0,02311403;-0,05;0,2097409
0,02318778;-0,05;0,2080378
0,02302353;-0,05;0,2057966
0,02306153;-0,05;0,20489
0,02320501;-0,05;0,2015015
0,02327077;-0,05;0,2002787
0,02309295;-0,05;0,1983194
0,02299571;-0,05;0,1946726
0,0227731;-0,05;0,193496
0,02258835;-0,05;0,1914701
0,02181059;-0,05;0,1908046
0,0215559;-0,05;0,1905216
0,02052898;-0,05;0,1892622
0,01921714;-0,05;0,1875174
0,01786138;-0,05;0,1868289
0,01678595;-0,05;0,1857451
0,01511952;-0,05;0,1853061
0,01350197;-0,05;0,1840238
0,01158709;-0,05;0,18353
0,008582987;-0,05;0,1824232
0,006066328;-0,05;0,182181
0,004123266;-0,05;0,1821354
0,001066201;-0,05;0,1820683
-0,0008548587;-0,05;0,1820339
-0,00278267;-0,05;0,1820148
-0,006095819;-0,05;0,181988
-0,008310453;-0,05;0,1819806
-0,01052507;-0,05;0,1819805
-0,01440028;-0,05;0,1820183
-0,01635884;-0,05;0,1820246
-0,01857065;-0,05;0,1820625
-0,02190057;-0,05;0,1821174
-0,02357205;-0,05;0,1821422
-0,02524545;-0,05;0,1821819
-0,02773229;-0,05;0,1822593
-0,02967651;-0,05;0,1823213
-0,0310609;-0,05;0,1823591
-0,03407382;-0,05;0,1824927
-0,03601533;-0,05;0,1825622
-0,0379559;-0,05;0,1823923
-0,04294056;-0,05;0,1826328
-0,04624911;-0,05;0,1828263
-0,04984933;-0,05;0,1827934
-0,05461398;-0,05;0,1825455
-0,05688631;-0,05;0,1824851
-0,05803466;-0,05;0,1822857
-0,0594643;-0,05;0,1823605
-0,05950785;-0,05;0,1821442
-0,05979219;-0,05;0,1821506
-0,06038199;-0,05;0,1817409
-0,06097022;-0,05;0,1812551
-0,06158694;-0,05;0,1807677
-0,06251942;-0,05;0,1795885
-0,06339188;-0,05;0,1792177
-0,06427193;-0,05;0,1788199
-0,06571774;-0,05;0,1784266
-0,06602883;-0,05;0,1781853
-0,06686042;-0,05;0,178249
-0,06744491;-0,05;0,1780359
-0,06748851;-0,05;0,1774912
-0,06783336;-0,05;0,1767356
-0,06818081;-0,05;0,1759917
-0,06904337;-0,05;0,1758195
-0,06995375;-0,05;0,1751156
-0,07170805;-0,05;0,1745166
-0,07229535;-0,05;0,1742969
-0,07260595;-0,05;0,17406
-0,07373668;-0,05;0,174154
-0,07484519;-0,05;0,17427
-0,0757449;-0,05;0,1738979
-0,07688354;-0,05;0,1737448
-0,07802479;-0,05;0,1736048
-0,0789123;-0,05;0,1732441
-0,08215567;-0,05;0,1720796
-0,08358748;-0,05;0,171977
-0,08529355;-0,05;0,1719011
-0,08737551;-0,05;0,1711495
-0,08822951;-0,05;0,1709993
-0,08885924;-0,05;0,1705985
-0,08983503;-0,05;0,1694945
-0,0908374;-0,05;0,1683232
-0,0912363;-0,05;0,1674583
-0,09219982;-0,05;0,1664879
-0,09232964;-0,05;0,1653938
-0,09240253;-0,05;0,16484
-0,09376651;-0,05;0,1631521
-0,09446303;-0,05;0,1622591
-0,09543797;-0,05;0,1614874
-0,09672904;-0,05;0,1604303
-0,09736973;-0,05;0,1599994
-0,09770454;-0,05;0,1595949
-0,09832035;-0,05;0,1592311
-0,09865774;-0,05;0,1588388
-0,09998049;-0,05;0,1575263
-0,1003859;-0,05;0,1567011
-0,1008542;-0,05;0,1553398
-0,101032;-0,05;0,1541293
-0,1012753;-0,05;0,152422
-0,1017079;-0,05;0,1514662
-0,1021849;-0,05;0,1499865
-0,1024279;-0,05;0,1482507
-0,1026815;-0,05;0,1464222
-0,1029513;-0,05;0,1444668
-0,1031767;-0,05;0,1427313
