x,y,z
-0,08982725;-0,05;0,3278194
-0,09046888;-0,05;0,3282248
-0,09049271;-0,05;0,3280128
-0,09045926;-0,05;0,328428
-0,09085093;-0,05;0,3294671
-0,09086455;-0,05;0,3295847
-0,09129661;-0,05;0,3295955
-0,091534;-0,05;0,3294542
-0,09178203;-0,05;0,3286435
-0,09182249;-0,05;0,3278311
-0,09190467;-0,05;0,3261986
-0,09217441;-0,05;0,3249888
-0,092227;-0,05;0,3243042
-0,09212159;-0,05;0,3220068
-0,09223451;-0,05;0,3199395
-0,09252515;-0,05;0,3182164
-0,09243082;-0,05;0,315601
-0,09251943;-0,05;0,3135939
-0,09262252;-0,05;0,3113855
-0,09282137;-0,05;0,3069504
-0,09299818;-0,05;0,3033257
-0,09314565;-0,05;0,3005009
-0,09337181;-0,05;0,2959484
-0,09324574;-0,05;0,2937928
-0,09310625;-0,05;0,2917812
-0,09300902;-0,05;0,2889568
-0,09311287;-0,05;0,2869529
-0,09320074;-0,05;0,2852104
-0,09334515;-0,05;0,2821438
-0,09319246;-0,05;0,280589
-0,09328555;-0,05;0,2787884
-0,0929713;-0,05;0,2757528
-0,09260045;-0,05;0,2737294
-0,09170886;-0,05;0,2724049
-0,09065261;-0,05;0,269553
-0,08973377;-0,05;0,268448
-0,08907609;-0,05;0,2669637
-0,08704674;-0,05;0,2630839
-0,08609962;-0,05;0,2618661
-0,08445511;-0,05;0,2602836
-0,08306512;-0,05;0,2582425
-0,08141609;-0,05;0,2564104
-0,07973446;-0,05;0,2549647
-0,07705597;-0,05;0,2531206
-0,07585379;-0,05;0,2519025
-0,07441819;-0,05;0,2508821
-0,07195584;-0,05;0,2487993
-0,0704476;-0,05;0,2473418
-0,06897168;-0,05;0,2467984
-0,06646512;-0,05;0,2452934
-0,06521107;-0,05;0,2446985
-0,06367069;-0,05;0,243786
-0,06163932;-0,05;0,2423595
-0,06035284;-0,05;0,2418435
-0,05911587;-0,05;0,2416019
-0,0573226;-0,05;0,2404313
-0,05654287;-0,05;0,2399133
-0,05500288;-0,05;0,2392227
-0,05297979;-0,05;0,2387209
-0,05145128;-0,05;0,2382896
-0,05018964;-0,05;0,2379873
-0,04812153;-0,05;0,2366618
-0,04631429;-0,05;0,2359161
-0,04499268;-0,05;0,2344472
-0,04285169;-0,05;0,2326205
-0,04227286;-0,05;0,2311372
-0,04196133;-0,05;0,2298981
-0,04111132;-0,05;0,2282193
-0,04080703;-0,05;0,2272486
-0,04002296;-0,05;0,227013
-0,03944626;-0,05;0,225578
-0,03889637;-0,05;0,2244795
-0,03831842;-0,05;0,2235871
-0,03795237;-0,05;0,2212339
-0,03791159;-0,05;0,2199937
-0,03761156;-0,05;0,2189495
-0,03724121;-0,05;0,2167972
-0,03716385;-0,05;0,2153624
-0,03710178;-0,05;0,2139214
-0,0370147;-0,05;0,2118299
-0,03695927;-0,05;0,2109777
-0,03688597;-0,05;0,2097409
-0,03681222;-0,05;0,2080378
-0,03697646;-0,05;0,2057966
-0,03693847;-0,05;0,20489
-0,03679499;-0,05;0,2015015
-0,03672922;-0,05;0,2002787
-0,03690705;-0,05;0,1983194
-0,03700429;-0,05;0,1946726
-0,0372269;-0,05;0,193496
-0,03741165;-0,05;0,1914701
-0,03818941;-0,05;0,1908046
-0,03844409;-0,05;0,1905216
-0,03947102;-0,05;0,1892622
-0,04078286;-0,05;0,1875174
-0,04213862;-0,05;0,1868289
-0,04321405;-0,05;0,1857451
-0,04488048;-0,05;0,1853061
-0,04649803;-0,05;0,1840238
-0,04841291;-0,05;0,18353
-0,05141701;-0,05;0,1824232
-0,05393367;-0,05;0,182181
-0,05587673;-0,05;0,1821354
-0,0589338;-0,05;0,1820683
-0,06085486;-0,05;0,1820339
-0,06278267;-0,05;0,1820148
-0,06609581;-0,05;0,181988
-0,06831045;-0,05;0,1819806
-0,07052507;-0,05;0,1819805
-0,07440028;-0,05;0,1820183
-0,07635884;-0,05;0,1820246
-0,07857065;-0,05;0,1820625
-0,08190057;-0,05;0,1821174
-0,08357205;-0,05;0,1821422
-0,08524545;-0,05;0,1821819
-0,08773229;-0,05;0,1822593
-0,08967651;-0,05;0,1823213
-0,0910609;-0,05;0,1823591
-0,09407382;-0,05;0,1824927
-0,09601533;-0,05;0,1825622
-0,0979559;-0,05;0,1823923
-0,1029406;-0,05;0,1826328
-0,1062491;-0,05;0,1828263
-0,1098493;-0,05;0,1827934
-0,114614;-0,05;0,1825455
-0,1168863;-0,05;0,1824851
-0,1180347;-0,05;0,1822857
-0,1194643;-0,05;0,1823605
-0,1195078;-0,05;0,1821442
-0,1197922;-0,05;0,1821506
-0,120382;-0,05;0,1817409
-0,1209702;-0,05;0,1812551
-0,1215869;-0,05;0,1807677
-0,1225194;-0,05;0,1795885
-0,1233919;-0,05;0,1792177
-0,1242719;-0,05;0,1788199
-0,1257177;-0,05;0,1784266
-0,1260288;-0,05;0,1781853
-0,1268604;-0,05;0,178249
-0,1274449;-0,05;0,1780359
-0,1274885;-0,05;0,1774912
-0,1278334;-0,05;0,1767356
-0,1281808;-0,05;0,1759917
-0,1290434;-0,05;0,1758195
-0,1299538;-0,05;0,1751156
-0,1317081;-0,05;0,1745166
-0,1322954;-0,05;0,1742969
-0,1326059;-0,05;0,17406
-0,1337367;-0,05;0,174154
-0,1348452;-0,05;0,17427
-0,1357449;-0,05;0,1738979
-0,1368835;-0,05;0,1737448
-0,1380248;-0,05;0,1736048
-0,1389123;-0,05;0,1732441
-0,1421557;-0,05;0,1720796
-0,1435875;-0,05;0,171977
-0,1452935;-0,05;0,1719011
-0,1473755;-0,05;0,1711495
-0,1482295;-0,05;0,1709993
-0,1488592;-0,05;0,1705985
-0,149835;-0,05;0,1694945
-0,1508374;-0,05;0,1683232
-0,1512363;-0,05;0,1674583
-0,1521998;-0,05;0,1664879
-0,1523296;-0,05;0,1653938
-0,1524025;-0,05;0,16484
-0,1537665;-0,05;0,1631521
-0,154463;-0,05;0,1622591
-0,155438;-0,05;0,1614874
-0,156729;-0,05;0,1604303
-0,1573697;-0,05;0,1599994
-0,1577045;-0,05;0,1595949
-0,1583204;-0,05;0,1592311
-0,1586577;-0,05;0,1588388
-0,1599805;-0,05;0,1575263
-0,160386;-0,05;0,1567011
-0,1608542;-0,05;0,1553398
-0,161032;-0,05;0,1541293
-0,1612753;-0,05;0,152422
-0,1617079;-0,05;0,1514662
-0,1621849;-0,05;0,1499865
-0,1624279;-0,05;0,1482507
-0,1626815;-0,05;0,1464222
-0,1629513;-0,05;0,1444668
-0,1631767;-0,05;0,1427313
-0,1633743;-0,05;0,1412791
-0,1634866;-0,05;0,140346
-0,1636185;-0,05;0,1394056
-0,1637458;-0,05;0,1384666
-0,1638776;-0,05;0,137527
-0,1640948;-0,05;0,1359631
-0,1643044;-0,05;0,1344139
-0,1649136;-0,05;0,1323196
-0,1651569;-0,05;0,1305074
-0,1653055;-0,05;0,1294696
-0,1659065;-0,05;0,1273714
-0,1666006;-0,05;0,1246657
-0,1670302;-0,05;0,1238529
-0,1672229;-0,05;0,1224838
-0,1682011;-0,05;0,119996
-0,1688463;-0,05;0,1196668
-0,170031;-0,05;0,117918
-0,171675;-0,05;0,1171293
-0,1732852;-0,05;0,1167299
-0,1745421;-0,05;0,1165473
-0,1772561;-0,05;0,1150313
-0,1789087;-0,05;0,1143299
-0,1801286;-0,05;0,1143459
-0,1818121;-0,05;0,1136391
-0,1832017;-0,05;0,112717
-0,18485;-0,05;0,1121017
-0,1880356;-0,05;0,1097566
-0,1891833;-0,05;0,1086089
-0,1907648;-0,05;0,1066343
-0,1934195;-0,05;0,1041723
-0,195036;-0,05;0,1021026
-0,1965702;-0,05;0,1007829
-0,1992815;-0,05;0,09634184
-0,200304;-0,05;0,094192
-0,2011328;-0,05;0,09156051
-0,2013313;-0,05;0,08871125
-0,2015894;-0,05;0,08722882
-0,2015477;-0,05;0,0855639
-0,2005383;-0,05;0,0839906
-0,2001372;-0,05;0,0826169
-0,1990322;-0,05;0,08148935
-0,1967662;-0,05;0,07983
-0,1946781;-0,05;0,07860749
-0,1928057;-0,05;0,07793278
-0,1881398;-0,05;0,07652115
-0,1857074;-0,05;0,07528921
-0,1835038;-0,05;0,0746455
-0,1809372;-0,05;0,0742998
-0,1796863;-0,05;0,07394402
-0,178409;-0,05;0,07376697
-0,1763523;-0,05;0,07218244
-0,1744787;-0,05;0,07159975
-0,1725716;-0,05;0,07115663
-0,1687396;-0,05;0,07064818
-0,1665055;-0,05;0,0703572
-0,1639423;-0,05;0,07003573
-0,1607343;-0,05;0,06964165
-0,1591217;-0,05;0,06946091
-0,1562278;-0,05;0,06911432
-0,1517336;-0,05;0,06860603
-0,1488328;-0,05;0,06831553
-0,1468782;-0,05;0,0681197
